Dataset,PL,Size,Description
TheStack,30+,2.45TB,The Stack contains over 6TB of permissively-licensed source code files covering 358 programming languages
CodeSearchNet,6,3.71GB, CodeSearchNet corpus is a dataset of 2 milllion (comment-code) pairs from opensource libraries hosted on GitHub.
